question,ai_answer,evidence,label
"What is the capital of France?","Paris is the capital of France.","Paris is the capital and largest city of France.",0
"What is the capital of France?","London is the capital of France.","Paris is the capital and largest city of France.",1
"What is the capital of India?","New Delhi is the capital of India.","New Delhi is the capital of India.",0
"What is the capital of India?","Mumbai is the capital of India.","New Delhi is the capital of India.",1
"What is the largest planet?","Jupiter is the largest planet in the Solar System.","Jupiter is the largest planet in the Solar System.",0
"What is the largest planet?","Earth is the largest planet in the Solar System.","Jupiter is the largest planet in the Solar System.",1
"What is the smallest planet?","Mercury is the smallest planet in the Solar System.","Mercury is the smallest planet in the Solar System.",0
"What is the smallest planet?","Mars is the smallest planet in the Solar System.","Mercury is the smallest planet in the Solar System.",1
"What is the speed of light?","Light travels through vacuum at approximately 300,000 km/s.","Light travels through vacuum at approximately 300,000 km/s.",0
"What is the speed of light?","Light travels through vacuum at approximately 30,000 km/s.","Light travels through vacuum at approximately 300,000 km/s.",1
"Who invented the telephone?","Alexander Graham Bell is widely credited with inventing the telephone.","Alexander Graham Bell is widely credited with inventing the telephone.",0
"Who invented the telephone?","Thomas Edison invented the telephone.","Alexander Graham Bell is widely credited with inventing the telephone.",1
"Who developed the theory of relativity?","Albert Einstein developed the theories of special and general relativity.","Albert Einstein developed the theories of special and general relativity.",0
"Who developed the theory of relativity?","Isaac Newton developed the theory of relativity.","Albert Einstein developed the theories of special and general relativity.",1
"What is Python?","Python is a high-level programming language.","Python is a high-level programming language.",0
"What is Python?","Python is a relational database management system.","Python is a high-level programming language.",1
"What is machine learning?","Machine learning is a field of AI where computers learn patterns from data.","Machine learning is a field of AI where computers learn patterns from data.",0
"What is machine learning?","Machine learning is a method used only to design computer hardware.","Machine learning is a field of AI where computers learn patterns from data.",1
"What is deep learning?","Deep learning uses neural networks with multiple layers to learn from data.","Deep learning uses neural networks with multiple layers to learn from data.",0
"What is deep learning?","Deep learning is a type of database used to store images.","Deep learning uses neural networks with multiple layers to learn from data.",1
"What is HTML?","HTML is a markup language used to structure web pages.","HTML is a markup language used to structure web pages.",0
"What is HTML?","HTML is a programming language used to manage operating systems.","HTML is a markup language used to structure web pages.",1
"What is CSS?","CSS is used to style and format web pages.","CSS is used to style and format web pages.",0
"What is CSS?","CSS is a database query language.","CSS is used to style and format web pages.",1
"What is SQL?","SQL is used to manage and query relational databases.","SQL is used to manage and query relational databases.",0
"What is SQL?","SQL is a markup language for creating web page layouts.","SQL is used to manage and query relational databases.",1
"What is an algorithm?","An algorithm is a step-by-step procedure for solving a problem.","An algorithm is a step-by-step procedure for solving a problem.",0
"What is an algorithm?","An algorithm is a physical component inside a computer.","An algorithm is a step-by-step procedure for solving a problem.",1
"What is a database?","A database is an organized collection of data.","A database is an organized collection of data.",0
"What is a database?","A database is a device used to display computer graphics.","A database is an organized collection of data.",1
"What is RAM?","RAM is volatile memory used for temporarily storing data and programs.","RAM is volatile memory used for temporarily storing data and programs.",0
"What is RAM?","RAM is permanent storage used to keep files after power is removed.","RAM is volatile memory used for temporarily storing data and programs.",1
"What is a CPU?","The CPU executes instructions and performs calculations in a computer.","The CPU executes instructions and performs calculations in a computer.",0
"What is a CPU?","The CPU is mainly used to permanently store photos and videos.","The CPU executes instructions and performs calculations in a computer.",1
"What is an operating system?","An operating system manages computer hardware and provides services for applications.","An operating system manages computer hardware and provides services for applications.",0
"What is an operating system?","An operating system is a type of computer cable.","An operating system manages computer hardware and provides services for applications.",1
"What is an IP address?","An IP address identifies a device or network interface on a network.","An IP address identifies a device or network interface on a network.",0
"What is an IP address?","An IP address is a programming language used to build websites.","An IP address identifies a device or network interface on a network.",1
"What is HTTP?","HTTP is a protocol used for communication between web clients and servers.","HTTP is a protocol used for communication between web clients and servers.",0
"What is HTTP?","HTTP is a hardware component used to store files.","HTTP is a protocol used for communication between web clients and servers.",1
"What is a neural network?","A neural network is a computational model inspired by networks of interconnected neurons.","A neural network is a computational model inspired by networks of interconnected neurons.",0
"What is a neural network?","A neural network is a physical network cable used for internet connections.","A neural network is a computational model inspired by networks of interconnected neurons.",1
"What is supervised learning?","Supervised learning uses labeled data to learn a relationship between inputs and outputs.","Supervised learning uses labeled data to learn a relationship between inputs and outputs.",0
"What is supervised learning?","Supervised learning always works without any training data.","Supervised learning uses labeled data to learn a relationship between inputs and outputs.",1
"What is unsupervised learning?","Unsupervised learning finds patterns or structures in data without labeled target outputs.","Unsupervised learning finds patterns or structures in data without labeled target outputs.",0
"What is unsupervised learning?","Unsupervised learning requires every training example to have a human-provided label.","Unsupervised learning finds patterns or structures in data without labeled target outputs.",1
"What is classification in machine learning?","Classification predicts a category or class for an input.","Classification predicts a category or class for an input.",0
